NAME;RECORD;NICKNAME;HEIGHT;WEIGHT;REACH;STANCE;DOB;SLpM;Str Acc;SApM;Str Def;TD Avg;TD Acc;TD Def;Sub Avg
Hamid Amiri;9-0-0;The Storm;--;145 lbs.;--;;Jun 15, 2003;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Makwan Amirkhani;17-9-0;Mr. Finland;"5' 10""";145 lbs.;"72""";Southpaw;Nov 08, 1988;1.33;44 %;2.98;46 %;3.96;43 %;35 %;1.1
Jaqueline Amorim;10-1-0;;"5' 3""";115 lbs.;"68""";Orthodox;Jun 24, 1995;2.68;53 %;1.43;64 %;2.22;37 %;0 %;4.8
Bertrand Amoussou;1-1-0;;"5' 8""";190 lbs.;--;Orthodox;May 28, 1966;6.75;39 %;2.01;83 %;0.0;0 %;0 %;0.0
Karl Amoussou;27-7-2;The Psycho;"5' 11""";185 lbs.;--;Orthodox;Nov 21, 1985;1.47;34 %;2.67;54 %;0.0;0 %;25 %;1.0
Eryk Anders;17-9-0 (1 NC);Ya Boi;"6' 1""";185 lbs.;"75""";Southpaw;Apr 21, 1987;3.51;48 %;4.09;50 %;1.75;24 %;80 %;0.1
Matt Andersen;14-8-1;;"6' 2""";230 lbs.;--;Southpaw;May 29, 1971;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Andy Anderson;0-1-0;The Hammer;"5' 6""";240 lbs.;--;;Jul 16, 1974;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Lowell Anderson;0-1-0;;"5' 6""";160 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Corey Anderson;14-5-0;Overtime;"6' 3""";205 lbs.;"79""";Orthodox;Sep 22, 1989;4.43;46 %;2.22;59 %;4.89;50 %;83 %;0.0
Derek Anderson;14-3-0 (1 NC);Barbaric;"6' 0""";155 lbs.;--;;Feb 02, 1990;3.97;37 %;3.08;61 %;0.34;14 %;60 %;0.0
Megan Anderson;11-5-0;;"6' 0""";145 lbs.;"72""";Orthodox;Feb 11, 1990;1.76;46 %;3.35;37 %;0.52;25 %;53 %;0.5
Liam Anderson;6-3-0;;"6' 3""";185 lbs.;"75""";Orthodox;Jan 13, 1995;3.0;52 %;6.53;31 %;1.0;20 %;50 %;0.0
Tatsuya Ando;14-4-1;Kirinji;"5' 4""";145 lbs.;"68""";Southpaw;Apr 26, 1990;0.93;19 %;4.93;50 %;0.0;0 %;0 %;0.0
Alex Andrade;10-5-0;El Toro;"5' 11""";200 lbs.;--;Orthodox;May 14, 1974;0.2;36 %;2.6;53 %;0.0;0 %;25 %;0.8
Jessica Andrade;26-15-0;Bate Estaca;"5' 1""";115 lbs.;"62""";Orthodox;Sep 25, 1991;6.37;48 %;5.58;54 %;2.1;54 %;75 %;0.3
Viscardi Andrade;19-6-0;;"5' 11""";170 lbs.;"75""";Orthodox;Mar 08, 1984;3.26;42 %;2.77;63 %;1.93;50 %;66 %;0.3
Jermaine Andre;14-4-0;;"5' 7""";200 lbs.;--;Orthodox;Jul 16, 1973;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Fellipe Andrew;0-0-0;;--;--;--;;Oct 24, 1994;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Dylan Andrews;18-7-0 (1 NC);The Villain;"6' 1""";185 lbs.;"74""";Switch;Nov 15, 1979;2.21;50 %;2.72;46 %;2.83;50 %;57 %;0.4
Reese Andy;7-3-0;Riptide;"6' 0""";205 lbs.;--;Orthodox;Mar 31, 1973;2.87;50 %;3.5;58 %;0.67;20 %;40 %;0.0
Angga;13-3-0;The Hitman;"5' 7""";145 lbs.;"68""";Orthodox;Jan 13, 1989;3.56;38 %;3.77;53 %;0.0;0 %;33 %;0.0
Julius Anglickas;5-1-0;;"6' 3""";205 lbs.;--;Orthodox;Jul 23, 1991;4.62;78 %;1.86;50 %;4.47;50 %;60 %;1.1
Collin Anglin;8-3-0;;"5' 9""";145 lbs.;"71""";Orthodox;Feb 20, 1993;4.59;48 %;5.54;51 %;2.28;66 %;100 %;0.0
Chad Anheliger;13-8-0;The Monster;"5' 6""";135 lbs.;"64""";Orthodox;Dec 01, 1986;3.11;46 %;2.76;53 %;0.68;30 %;38 %;0.5
Yoji Anjo;0-5-1;Mr. 200%;"5' 11""";205 lbs.;--;Orthodox;Mar 28, 1967;0.0;0 %;3.13;25 %;0.0;0 %;0 %;0.0
Magomed Ankalaev;21-2-1 (1 NC);;"6' 3""";205 lbs.;"75""";Orthodox;Jun 02, 1992;3.65;52 %;2.59;56 %;0.79;22 %;87 %;0.0
Gadzhimurad Antigulov;20-8-0;;"5' 11""";205 lbs.;"70""";Orthodox;Feb 09, 1987;2.08;55 %;4.21;40 %;5.08;36 %;0 %;1.4
Adam Antolin;12-3-0;Captain Chaos;"5' 5""";125 lbs.;"63""";Orthodox;Feb 28, 1982;5.73;52 %;5.0;69 %;0.0;0 %;100 %;0.0
Angelo Antonio;1-4-0;;--;205 lbs.;--;Orthodox;Oct 04, 1998;1.09;50 %;7.64;50 %;0.0;0 %;0 %;0.0
Vanilto Antunes;16-7-0;;"6' 0""";170 lbs.;"72""";Orthodox;Dec 28, 1994;5.49;48 %;14.27;43 %;0.0;0 %;0 %;0.0
Azunna Anyanwu;14-5-0;Zulu;"6' 1""";251 lbs.;--;Orthodox;Aug 05, 1981;2.47;42 %;2.47;69 %;0.65;100 %;0 %;0.0
Shinsho Anzai;10-3-0;Animal;"5' 7""";170 lbs.;"70""";Orthodox;Dec 01, 1985;3.23;58 %;3.75;45 %;1.83;16 %;75 %;0.0
Jin Aoi;14-6-1;;"5' 6""";145 lbs.;"68""";Orthodox;Jan 21, 1997;1.6;29 %;5.8;51 %;0.0;0 %;71 %;0.0
Shinya Aoki;39-7-0 (1 NC);Tobikan Judan;"5' 11""";154 lbs.;--;Southpaw;May 09, 1983;0.97;58 %;1.25;58 %;2.54;41 %;60 %;4.0
Aoriqileng;26-12-0 (1 NC);The Mongolian Murderer;"5' 7""";135 lbs.;"69""";Orthodox;Jun 25, 1993;4.69;49 %;5.47;48 %;1.2;46 %;58 %;0.0
Josh Appelt;15-7-0;;"5' 10""";255 lbs.;--;Southpaw;Jun 19, 1983;1.35;40 %;11.5;32 %;0.0;0 %;33 %;0.0
Erik Apple;10-3-0;;"6' 0""";170 lbs.;--;Orthodox;Aug 26, 1977;0.0;0 %;0.54;81 %;0.0;0 %;0 %;8.1
Kenji Arai;15-15-5;;"5' 10""";145 lbs.;--;Southpaw;Oct 05, 1979;8.79;27 %;10.29;39 %;0.0;0 %;0 %;0.0
Romie Aram;7-1-0;;"5' 10""";170 lbs.;--;Orthodox;Dec 02, 1977;1.8;35 %;2.83;50 %;2.5;62 %;83 %;0.0
